,Glyc deg,PHB acc,PHV acc,Ac upt,CO2 prod,H2 prod,Glycolysis,PPP,PDH,PEPC,TCA ,oxTCA,redTCA,TCAGOX,SucPr,ATP net,SucDH,NOG,AcCoA prod,PrCoA prod
G6P,1,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,0,0,-1,0,0
PYR,0,0,0,0,0,0,2,5,-1,-1,0,0,0,0,0,0,0,0,0,0
electrons,0,-2,-2,0,0,-2,4,22,2,0,8,4,-4,2,0,0,4,0,-1,-1
CO2,0,0,0,0,-1,0,0,3,1,-1,2,2,0,0,1,0,0,0,0,0
AcCoA,0,-2,-1,1,0,0,0,0,1,0,-1,-1,0,-2,0,0,0,3,-1,0
OXA,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,1,0,0,0
SucCoA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,-1,0,0,0
PrCoA,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
ATP,0,0,0,0,0,0,3,8,0,-1,1,0,-1,0,0,-1,1,0,0,0
rev,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0